department_code,class_name
BTO,BTO1122
PDR,PDR3222
FBO,FBO2171
OKL,OKL2111
SNF,SNF2121
SBO,SBO2722
ING,ING2311
BLM,BLM9000
ELM,ELM4000
EHM,EHM9000
KOM,KOM9000
MTF,MTF9000
FIZ,FIZ9000
IST,IST4000
KIM,KIM9000
MAT,MAT9000
MBG,MBG1032
TDE,TDE4000
IKT,IKT4000
ISL,ISL4000
SBU,SBU4000
CEV,CEV4000
HRT,HRT9000
INS,INS4000
BYM,BYM4000
GDM,GDM9000
KMM,KMM4000
MTM,MTM4000
END,END4000
MAK,MAK9000
MKT,MKT4000
KVK,KVK3032
MIM,MIM4000
SBP,SBP4000
ILT,ILT4000
MTP,MTP3152
DTP,DTP4000
BSP,BSP4000
SYP,SYP1071
FVP,FVP4000
GRA,GRA2052
